Unnamed: 0,Universidad,Facultad,Título,Tipo de Título,Duración,Condiciones de Ingreso,Domicilio,Teléfono,Web,Mail,Disciplina,Provincia,Ámbito,Estrategica
0,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior Técnica,Técnico en Geomática,Otros Pregrados,3 Años,Exámen de Ingreso,Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47793300,www.ingenieriaest.iese.edu.ar ,esting@iese.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Público,True
1,"Instituto Universitario del Ejército ""Mayor Francisco Romero""",Unidad Académica Escuela Superior Técnica,Técnico en Geomática,Otros Pregrados,3 Años,Exámen de Ingreso,Av Cabildo 15 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47793300,www.ingenieriaest.iese.edu.ar ,esting@iese.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Público,True
2,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
3,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
4,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
5,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
6,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
7,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
8,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
9,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
